nurse_id,name,license_type,certifications,specialties,years_experience,languages,service_area_zip,coverage_radius_miles,shift_preferences,availability_slots,employment_status,payer_enrollment,covid_vaccination_status,hourly_rate,profile_summary
N001,Sarah Johnson,RN,"WOCN, CWS","wound care, post-surgical, diabetic care",8,"English, Spanish",10001,15,"day, evening","Mon-Fri 7am-7pm, Sat 8am-4pm",active,"Medicare, Medicaid, Aetna, BCBS",vaccinated,65,"Experienced wound care specialist with WOCN certification. Bilingual RN specializing in complex wound management and post-surgical care."
N002,Michael Chen,RN,"CCRN, ACLS","cardiac care, critical care, telemetry",12,"English, Mandarin",10002,20,"day, night","Mon-Sun 24/7 on-call",active,"Medicare, Medicaid, UnitedHealth, Humana",vaccinated,70,"Critical care nurse with 12 years ICU experience. Specializes in cardiac monitoring and post-acute care transitions."
N003,Maria Rodriguez,LPN,"CNA, BLS","pediatric care, tracheostomy care, ventilator",6,"English, Spanish",10003,10,"night, weekend","Fri-Sun nights, Mon-Thu evenings",active,"Medicaid, CHIP, Aetna",vaccinated,45,"Pediatric specialist with trach and vent experience. Comfortable with complex pediatric cases and family education."
N004,David Thompson,RN,"OCN, CHPN","oncology, palliative care, pain management",15,"English",10004,25,"day, evening","Mon-Fri 8am-6pm",active,"Medicare, Medicaid, BCBS, Cigna",vaccinated,75,"Oncology certified nurse with extensive palliative care experience. Specializes in symptom management and end-of-life care."
N005,Jennifer Kim,RN,"CDE, CDCES","diabetes education, endocrine disorders",10,"English, Korean",10005,18,"day","Mon-Fri 9am-5pm, Sat mornings",active,"Medicare, UnitedHealth, Aetna",vaccinated,68,"Certified diabetes educator with focus on patient education and lifestyle management. Excellent with chronic disease management."
N006,Robert Williams,RN,"CMSRN, AAOHN","medical-surgical, occupational health",9,"English",10006,12,"day, evening","Mon-Fri 6am-6pm",active,"Medicare, Medicaid, Workers Comp",vaccinated,62,"Medical-surgical nurse with occupational health background. Strong in post-operative care and workplace injury recovery."
N007,Lisa Patel,RN,"CWOCN, COCN","ostomy care, continence care, wound care",11,"English, Hindi, Gujarati",10007,22,"day, evening","Tue-Sat 8am-8pm",active,"Medicare, Medicaid, BCBS, Humana",vaccinated,72,"Wound, ostomy, and continence specialist. Multilingual nurse with expertise in complex wound and ostomy management."
N008,James Martinez,LPN,"IV Therapy, Phlebotomy","IV therapy, medication administration",4,"English, Spanish",10008,8,"all shifts","Mon-Sun flexible",active,"Medicaid, CHIP, local HMOs",vaccinated,42,"Skilled in IV therapy and medication management. Flexible scheduling and bilingual capabilities for diverse patient populations."
N009,Amanda Foster,RN,"PCCN, CAPA","progressive care, cardiac step-down",7,"English",10009,16,"day, night","Mon-Fri days, weekends nights",active,"Medicare, BCBS, UnitedHealth",vaccinated,64,"Progressive care nurse specializing in cardiac step-down patients. Experience with telemetry and intermediate care."
N010,Carlos Gonzalez,RN,"CEN, TNCC","emergency care, trauma, critical care",13,"English, Spanish, Portuguese",10010,30,"night, weekend","Fri-Mon nights, emergency on-call",active,"Medicare, Medicaid, all major insurers",vaccinated,78,"Emergency and trauma nurse with extensive critical care background. Available for high-acuity cases and emergency situations."
